A Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z Z A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F Y F F F F F F F F F F F F F A
A F F F F F F F F F X F F F F F F F F F F F F F F F S F F F F A
A F F F S F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F T F F F F F F F T F F F F F F F F F U F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F U F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F V F F F F F F F F F F F F F F F F F F F F A
A F F F S F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F T F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F U F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F U F F F F F F F F F F F F A
A F F F S F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F T F F F F F F F F F F F F F F Z F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F U F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F V F F F F T F F F F F F F F F F F F F F F A
A F F F F F F F F F V F F F F F F F F F F F F V F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A F F F F F F F F F F F F F F F F F F F F F F F F F F F F F F A
A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A A
